path,status,resolution,required_proof
.gitattributes,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
.github/workflows/tests.yml,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
.gitignore,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
AGENTS.md,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/agent_init.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/agent_runtime_helpers.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/anthropic_adapter.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/auxiliary_client.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/chat_completion_helpers.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/codex_runtime.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/conversation_compression.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/conversation_loop.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/credential_pool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/image_routing.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/pet/generate/atlas.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/pet/generate/orchestrate.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/process_bootstrap.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/prompt_builder.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/shell_hooks.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/skill_commands.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/skill_utils.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/ssl_guard.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/system_prompt.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/transports/codex.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/turn_context.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
agent/turn_finalizer.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
apps/desktop/e2e/sidebar-states.spec.ts,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
